county_fips,rank,station_id,station_name,distance_km,weight
42031,2,USC00368873,TIONESTA 2 SE LAKE,31.308919036748538,0.0022005736444869334
42031,3,USC00367229,PUTNEYVILLE 2 SE DAM,32.53020708447986,0.0020384421852201644
42031,4,USC00363028,FRANKLIN,40.98327824985931,0.001284276882228332
42031,5,USW00004787,DUBOIS RGNL AP,44.15387012777603,0.0011064569028065364
42033,1,USW00004787,DUBOIS RGNL AP,39.76061013238307,0.2800823366848433
42033,2,USC00367167,PRINCE GALLITZIN SP,40.05675228531694,0.2759563117022292
42033,3,USC00367477,RIDGWAY,51.21499465121034,0.16880975431774312
42033,4,USC00368449,STATE COLLEGE,56.5410666041395,0.1385044756507444
42033,5,USC00360140,ALTOONA 3 W,56.92403231997237,0.1366471216444401
42035,1,USC00367409,RENOVO,13.577054556982683,0.5304388381856258
42035,2,USC00365109,LOCK HAVEN SEWAGE PLT,20.127781997150837,0.24135405593172085
42035,3,USC00360147,ALVIN R BUSH DAM,28.11079118646679,0.12373720537618665
42035,4,USC00368469,STEVENSON DAM,37.29599930810748,0.07029459695803343
42035,5,USC00368449,STATE COLLEGE,53.48931427824483,0.03417530354843334
42037,1,USC00368668,SUNBURY,36.99811976530216,0.2996525075078674
42037,2,USC00364815,LAPORTE,42.66228583282771,0.22536630373360314
42037,3,USC00367931,SELINSGROVE 2 S,48.2588968433589,0.17612558306709644
42037,4,USW00014778,WILLIAMSPORT RGNL AP,48.580036762340995,0.17380471177046553
42037,5,USC00363018,FRANCIS E WALTER DAM,57.272377463681224,0.12505089392096752
42039,1,USC00365050,LINESVILLE 1 S,26.76083328152659,0.3391608378492812
42039,2,USC00368888,TITUSVILLE WTR WKS,35.024290297684544,0.19800049524439742
42039,3,USC00364325,JAMESTOWN 2 NW,36.577600279089495,0.18154092544903436
42039,4,USC00363028,FRANKLIN,39.42977456575854,0.1562271018003651
42039,5,USW00014860,ERIE INTL AP,44.0681477293014,0.12507063965692206
42041,1,USC00361920,CARLISLE WTP,9.249300831025202,0.7193717342430794
42041,2,USC00368073,SHIPPENSBURG,24.882048476027915,0.09940286815876265
42041,3,USC00360656,BIGLERVILLE,25.59732620763239,0.09392516642808346
42041,4,USW00014751,HARRISBURG CAPITAL CITY AP,35.17449752135949,0.04974109884128604
42041,5,USC00368308,S MTN,40.47881723868446,0.037559132328788394
42043,1,USW00014751,HARRISBURG CAPITAL CITY AP,22.24511304674924,0.3300020234909764
42043,2,USW00014711,MIDDLETOWN HARRISBURG INTL AP,24.13028763234692,0.2804534841076557
42043,3,USC00364896,LEBANON 2 W,29.2594199679393,0.19074554876985872
42043,4,USC00361920,CARLISLE WTP,39.53226544636998,0.10449185315081537
42043,5,USC00367931,SELINSGROVE 2 S,41.61220653349415,0.09430709048069384
42045,1,USW00013739,PHILA INTL AP,15.439539631914258,0.3219103628502991
42045,2,USC00366886,PHILA FRANKLIN INST,19.82546316451461,0.19523468073307554
42045,3,USC00079605,WILMINGTON PORTER RSCH,20.006276489816738,0.19172163226613778
42045,4,USC00366370,NORRISTOWN,22.100590451110516,0.15710713086750502
42045,5,USC00366927,PHOENIXVILLE 1 E,23.928032182184726,0.13402619328298243
42047,1,USC00367477,RIDGWAY,7.988078970049235,0.7007432414736228
42047,2,USC00363311,GLEN HAZEL 2 NE DAM,15.499251528022036,0.18613248032439733
42047,3,USC00364432,KANE 1NNE,30.41710253847979,0.048329013844590256
42047,4,USW00004787,DUBOIS RGNL AP,34.05610765833863,0.038552593306911555
42047,5,USW00004751,BRADFORD RGNL AP,41.27791859413382,0.02624267105047811
42049,1,USW00014860,ERIE INTL AP,8.225341155083214,0.9440206286184101
42049,2,USC00365050,LINESVILLE 1 S,59.13072831168511,0.01826681657140552
42049,3,USC00368888,TITUSVILLE WTR WKS,63.60476376309524,0.015787379050104
42049,4,USC00364325,JAMESTOWN 2 NW,75.3846971638065,0.011238877438131052
42049,5,USC00304207,JAMESTOWN 4 ENE,77.30917080015047,0.010686298321949294
42051,1,USC00361726,CONNELLSVILLE 2 SSW,9.439078601725681,0.7064497562663721
42051,2,USC00361705,CONFLUENCE 1 SW DAM,26.878191121298336,0.08712452219175394
42051,3,USC00465002,LAKE LYNN,28.774198217337076,0.07602107783548333
42051,4,USC00362183,DONEGAL 2 NW,30.595545987857925,0.06723943714469627
42051,5,USC00367073,PT MARION LOCK 8,31.566852578650074,0.06316520656169436
42053,1,USC00368873,TIONESTA 2 SE LAKE,16.563487207925807,0.5845650282797963
42053,2,USC00369298,WARREN,37.996311975592135,0.11108450741749945
42053,3,USC00361485,CLARION 3 SW,38.947569147132725,0.10572450713961072
42053,4,USC00368888,TITUSVILLE WTR WKS,39.141380818138614,0.10468009263814468
42053,5,USC00364432,KANE 1NNE,41.31705497351649,0.09394586452494885
42055,1,USC00361354,CHAMBERSBURG 1 ESE,7.447850639133592,0.7537514816618923
42055,2,USC00368308,S MTN,20.6318534679352,0.0982230932217918
42055,3,USC00368073,SHIPPENSBURG,22.721174128568638,0.08098946983949765
42055,4,USC00181790,HAGERSTOWN 1E,31.93596078209915,0.04099492757786671
42055,5,USC00360656,BIGLERVILLE,40.069690533374306,0.02604102769895171
42057,1,USC00362721,EVERETT,22.867316511927765,0.4951779920787639
42057,2,USC00361354,CHAMBERSBURG 1 ESE,41.44255442433204,0.1507643665945725
42057,3,USW00014736,ALTOONA BLAIR CO AP,46.32328536480601,0.12066825551971133
42057,4,USC00461324,CACAPON ST PK #2,47.06860689666369,0.11687699884427886
42057,5,USC00181790,HAGERSTOWN 1E,47.14219721739717,0.11651238696267327
42059,1,USC00369367,WAYNESBURG 1 E,7.63480811416358,0.8222515737284056
42059,2,USC00367073,PT MARION LOCK 8,29.86431923712328,0.05373976060085056
42059,3,USC00466212,MORGANTOWN L&D,33.443178838593994,0.04285345712961235
42059,4,USW00013736,MORGANTOWN MUNI AP,34.13108026933126,0.04114346819234255
42059,5,USC00465002,LAKE LYNN,34.61041144358459,0.040011740348788905
42061,1,USW00014736,ALTOONA BLAIR CO AP,32.4788955528149,0.3099094708691506
42061,2,USC00364992,LEWISTOWN,38.3820624342337,0.2219119750099318
42061,3,USC00368449,STATE COLLEGE,42.130740762365186,0.1841785982954314
42061,4,USC00360140,ALTOONA 3 W,42.910397578664764,0.1775465660117664
42061,5,USC00368073,SHIPPENSBURG,55.41647908765479,0.10645338981371978
42063,1,USC00364214,INDIANA 3 SE,6.575262119944533,0.8833106067813242
42063,2,USC00367229,PUTNEYVILLE 2 SE DAM,34.53545736421217,0.032019103106055304
42063,3,USC00362470,EBENSBURG SEWAGE PLT,36.384222095762404,0.02884784649038759
42063,4,USC00362942,FORD CITY 4 S DAM,36.58967832060606,0.028524786571898025
42063,5,USC00365212,LOYALHANNA LAKE,37.403057642921766,0.02729765705033465
42065,1,USW00004787,DUBOIS RGNL AP,10.98229737845363,0.7508916563099864
42065,2,USC00367229,PUTNEYVILLE 2 SE DAM,32.80097266584643,0.08417637762168576
42065,3,USC00361485,CLARION 3 SW,35.973901684097136,0.06998236104380266
42065,4,USC00367477,RIDGWAY,38.27238961363047,0.06182904222991853
42065,5,USC00368873,TIONESTA 2 SE LAKE,52.291726945129646,0.03312056279460664
42067,1,USC00364992,LEWISTOWN,15.54532381416956,0.6971161045120321
42067,2,USC00361920,CARLISLE WTP,38.32482401826671,0.11469495703981815
42067,3,USC00368449,STATE COLLEGE,49.01888331961104,0.07010965574559565
42067,4,USC00367931,SELINSGROVE 2 S,53.41451738991681,0.059045396602416526
42067,5,USC00368073,SHIPPENSBURG,53.41972455141078,0.05903388610013765
42069,1,USW00014777,WILKES-BARRE/SCRANTON INTL AP,14.891936610428138,0.5943356036939904
42069,2,USC00367186,PROMPTON DAM,28.709920275581137,0.1599079781920689
42069,3,USC00367029,PLEASANT MT 1 W,36.273046584702854,0.10017654242266359
42069,4,USC00363018,FRANCIS E WALTER DAM,36.76838117553707,0.0974956157813826
42069,5,USC00365738,MILANVILLE,52.355894590414366,0.048084259909894435
42071,1,USC00364763,LANCASTER 2 NE FILT PLT,2.22872903013743,0.9454655547908222
42071,2,USC00366238,NEW HOLLAND 2 SE,15.66120520752865,0.019147403567166665
42071,3,USC00364778,LANDISVILLE 2 NW,17.275431151277804,0.015736294005876617
42071,4,USC00367732,SAFE HARBOR DAM,17.5676701620645,0.015217100661886694
42071,5,USC00366508,OCTORARO LAKE,32.546146178260564,0.004433646974247843
42073,1,USC00366233,NEW CASTLE 1 N,3.5378318111602876,0.9562959811879682
42073,2,USC00368184,SLIPPERY ROCK 1 SSW,24.12508154247575,0.020565019049881846
42073,3,USC00365902,MONTGOMERY L&D,38.63367129718567,0.008019268138743445
42073,4,USC00361139,BUTLER 2 SW,38.949139358937934,0.007889890294546323
42073,5,USW00014852,YOUNGSTOWN-WARREN RGNL AP,40.6882456620763,0.007229841328860342
42075,1,USC00364896,LEBANON 2 W,3.817363960259381,0.9495546871407388
42075,2,USC00364778,LANDISVILLE 2 NW,28.237597378437492,0.01735368207039581
42075,3,USW00014711,MIDDLETOWN HARRISBURG INTL AP,32.5779911656156,0.013037625966147099
42075,4,USC00360785,BLUE MARSH LAKE,37.0581254406695,0.010075815948098898
42075,5,USW00014751,HARRISBURG CAPITAL CITY AP,37.23897339016771,0.009978188874619409
42077,1,USW00014737,ALLENTOWN LEHIGH VLY INTL AP,12.681236310362507,0.5872167070744007
42077,2,USC00368400,SPRINGTOWN 1 NNE,26.82110394127982,0.13127084959180985
42077,3,USC00360560,BELTZVILLE DAM,27.887038977245346,0.12142742545315238
42077,4,USC00286979,PHILLIPSBURG-EASTON BRG,34.171644862457796,0.08087044372363576
42077,5,USC00363632,HAMBURG,34.52695281561495,0.07921457415700137
42079,1,USC00363018,FRANCIS E WALTER DAM,21.6612518667698,0.4690832776788674
42079,2,USW00014777,WILKES-BARRE/SCRANTON INTL AP,27.69129393074319,0.2870321581574705
42079,3,USC00360560,BELTZVILLE DAM,44.48554316691607,0.11121907021627937
42079,4,USC00364815,LAPORTE,51.393195231236184,0.08333085084884208
42079,5,USC00368596,E STROUDSBURG,66.79324332842404,0.049334643098540666
42081,1,USW00014778,WILLIAMSPORT RGNL AP,15.814402839825492,0.6467151080360976
42081,2,USC00361212,CANTON,38.39418038813139,0.10972050540492721
42081,3,USC00365109,LOCK HAVEN SEWAGE PLT,39.5853157246494,0.10321679632499299
42081,4,USC00364815,LAPORTE,47.70859378611328,0.07106002724568435
42081,5,USC00369408,WELLSBORO 4 SW,48.314963693035764,0.06928756298829798
42083,1,USW00004751,BRADFORD RGNL AP,5.537721639483635,0.7808487211188846
42083,2,USC00360868,BRADFORD 4SW RSCH 5,14.980440797807953,0.10670381848945015
42083,3,USC00367103,PORT ALLEGANY,23.641033384706176,0.04284461394962324
42083,4,USC00364432,KANE 1NNE,24.53819600023441,0.03976892799459151
42083,5,USC00363311,GLEN HAZEL 2 NE DAM,28.33083822309625,0.029833918447450737
42085,1,USC00364325,JAMESTOWN 2 NW,28.51463069451711,0.2622464758675275
42085,2,USC00368184,SLIPPERY ROCK 1 SSW,31.584109195100105,0.21375087354223407
42085,3,USC00366233,NEW CASTLE 1 N,32.73567590736482,0.19897684408456018
42085,4,USW00014852,YOUNGSTOWN-WARREN RGNL AP,35.52475179509118,0.1689596723410151
42085,5,USC00363028,FRANKLIN,36.96308790997325,0.156066134164663
42087,1,USC00364992,LEWISTOWN,7.179199982332472,0.9019511741737175
42087,2,USC00368449,STATE COLLEGE,27.999214970467357,0.05929846079935024
42087,3,USC00361920,CARLISLE WTP,57.26281331036174,0.014177177228420788
42087,4,USC00368073,SHIPPENSBURG,61.31877817937147,0.01236369108050533
42087,5,USC00365109,LOCK HAVEN SEWAGE PLT,61.70476235229308,0.012209496718006018
42089,1,USC00368596,E STROUDSBURG,11.21660780977927,0.7104189762613577
42089,2,USC00280734,BELVIDERE BRG,32.6106598130824,0.08404627143241578
42089,3,USC00360560,BELTZVILLE DAM,34.0738756084926,0.07698295122685939
42089,4,USC00363018,FRANCIS E WALTER DAM,34.12248482608438,0.0767637751818794
42089,5,USC00286979,PHILLIPSBURG-EASTON BRG,41.543600521656664,0.051788025897487704
